bibcode,journal,title,year,volume,doi,hip_tyc_id,simbad_main_id
2015A&A...580A..23P,A&A,A new catalogue of Stroemgren-Crawford uvby{beta} photometry.,2015,580,10.1051/0004-6361/201526413,HIP 69650,HR  5345
2015ApJ...804..146D,ApJ,"The ages of early-type stars: Stromgren photometric methods calibrated, validated, tested, and applied to hosts and prospective hosts of directly imaged exoplanets.",2015,804,10.1088/0004-637X/804/2/146,HIP 69650,HR  5345
2012MNRAS.427..343M,MNRAS,Fundamental parameters and infrared excesses of Hipparcos stars.,2012,427,10.1111/j.1365-2966.2012.21873.x,HIP 69650,HR  5345
2012A&A...537A.120Z,A&A,Rotational velocities of A-type stars. IV. Evolution of rotational  velocities.,2012,537,10.1051/0004-6361/201117691,HIP 69650,HR  5345
2012A&A...546A..61D,A&A,Radial velocities for the HIPPARCOS-Gaia Hundred-Thousand-Proper-Motion  project.,2012,546,10.1051/0004-6361/201219219,HIP 69650,HR  5345
2007A&A...463..671R,A&A,Rotational velocities of A-type stars. III. Velocity distributions.,2007,463,10.1051/0004-6361:20065224,HIP 69650,HR  5345
2006AstL...32..759G,AstL,Pulkovo compilation of radial velocities for 35495 stars in a common system.,2006,32,10.1134/S1063773706110065,HIP 69650,HR  5345
2002A&A...393..897R,A&A,Rotational velocities of A-type stars. II. Measurement of vsini in the northern hemisphere.,2002,393,10.1051/0004-6361:20020943,HIP 69650,HR  5345
2001A&A...373..625P,A&A,A spectroscopic survey for {lambda} Bootis stars. II. The observational data.,2001,373,10.1051/0004-6361:20010630,HIP 69650,HR  5345
2000ApJ...529..224P,ApJ,Fluorescent molecular hydrogen in the extragalactic giant H II region NGC 5461.,2000,529,10.1086/308269,HIP 69650,HR  5345
1998A&AS..129..431H,A&AS,uvby{beta} photoelectric photometric catalogue.,1998,129,10.1051/aas:1998195,HIP 69650,HR  5345
1997A&AS..124..255F,A&AS,Mesures de vitesses radiales. VIII. Accompagnement au sol du programme d'observation du satellite Hipparcos Radial velocities. VIII. Ground based measurements for Hipparcos.,1997,124,,HIP 69650,HR  5345
1995ApJS...99..135A,ApJS,The relation between rotational velocities and spectral peculiarities among A-type stars.,1995,99,10.1086/192182,HIP 69650,HR  5345
1995A&AS..114..269D,A&AS,Vitesses radiales. Catalogue WEB: Wilson Evans Batten. Radial velocities: The Wilson-Evans-Batten catalogue.,1995,114,,HIP 69650,HR  5345
1994PASP..106..992H,PASP,Speckle imaging with the MAMA detector : preliminary results.,1994,106,10.1086/133472,HIP 69650,HR  5345
1989AJ.....97..510M,AJ,ICCD speckle observations of binary stars. IV. Measurements during 1986-1988 from the Kitt Peak 4m telescope.,1989,97,10.1086/115001,HIP 69650,HR  5345
1982SvA....26..368I,SvA,Energy distributions in the spectra of 10 B to A stars.,1982,26,,HIP 69650,HR  5345
1974AJ.....79.1082E,AJ,Study of delta Scuti variables.,1974,79,10.1086/111657,HIP 69650,HR  5345
1972AN....294....1J,AN,Uber die veranderlichkeit der sterne des spektraltyps A.,1972,294,10.1002/asna.19722940102,HIP 69650,HR  5345
1966AJ.....71..709C,AJ,Photoelectric H-beta photometry for 1217 stars brighter than V= 6.5 mag.,1966,71,10.1086/110176,HIP 69650,HR  5345
2012A&A...546A..61D,A&A,Radial velocities for the HIPPARCOS-Gaia Hundred-Thousand-Proper-Motion  project.,2012,546,10.1051/0004-6361/201219219,HIP 72389,BD+56  1762
2012MNRAS.427..343M,MNRAS,Fundamental parameters and infrared excesses of Hipparcos stars.,2012,427,10.1111/j.1365-2966.2012.21873.x,HIP 72389,BD+56  1762
2011MNRAS.411..435B,MNRAS,Bayesian inference of stellar parameters and interstellar extinction  using parallaxes and multiband photometry.,2011,411,10.1111/j.1365-2966.2010.17699.x,HIP 72389,BD+56  1762
2013ApJS..208...29W,ApJS,Bright 22 {mu}m excess candidates from the wise all-sky catalog and the  Hipparcos main catalog.,2013,208,10.1088/0067-0049/208/2/29,HIP 73730,HD 133909
2012A&A...546A..61D,A&A,Radial velocities for the HIPPARCOS-Gaia Hundred-Thousand-Proper-Motion  project.,2012,546,10.1051/0004-6361/201219219,HIP 73730,HD 133909
2012MNRAS.427..343M,MNRAS,Fundamental parameters and infrared excesses of Hipparcos stars.,2012,427,10.1111/j.1365-2966.2012.21873.x,HIP 73730,HD 133909
2011MNRAS.410..190T,MNRAS,A catalogue of young runaway Hipparcos stars within 3 kpc from the Sun.,2011,410,10.1111/j.1365-2966.2010.17434.x,HIP 73730,HD 133909
1997PNAOJ...5....1Y,PNAOJ,The Tokyo PMC Catalog 90-93: Catalog of positions of 6649 stars observed in 1990 through 1993 with Tokyo Photoelectric Meridian Circle.,1997,5,,HIP 73730,HD 133909
1995A&AS..114..269D,A&AS,Vitesses radiales. Catalogue WEB: Wilson Evans Batten. Radial velocities: The Wilson-Evans-Batten catalogue.,1995,114,,HIP 73730,HD 133909
1984A&AS...57..357O,A&AS,UBV photometry of stars whose positions are accurately known.,1984,57,,HIP 73730,HD 133909
2015A&A...580A..23P,A&A,A new catalogue of Stroemgren-Crawford uvby{beta} photometry.,2015,580,10.1051/0004-6361/201526413,HIP 71911,HD 129865
2012A&A...546A..61D,A&A,Radial velocities for the HIPPARCOS-Gaia Hundred-Thousand-Proper-Motion  project.,2012,546,10.1051/0004-6361/201219219,HIP 71911,HD 129865
2012MNRAS.427..343M,MNRAS,Fundamental parameters and infrared excesses of Hipparcos stars.,2012,427,10.1111/j.1365-2966.2012.21873.x,HIP 71911,HD 129865
2011A&A...530A.138C,A&A,New constraints on the chemical evolution of the solar neighbourhood and Galactic disc(s). Improved astrophysical parameters for the  Geneva-Copenhagen survey.,2011,530,10.1051/0004-6361/201016276,HIP 71911,HD 129865
2009A&A...501..941H,A&A,"The Geneva-Copenhagen survey of the solar neighbourhood. III. Improved  distances, ages, and kinematics.",2009,501,10.1051/0004-6361/200811191,HIP 71911,HD 129865
2007ApJS..169..430R,ApJS,The N2K consortium. VII. Atmospheric parameters of 1907 metal-rich stars: finding planet-search targets.,2007,169,10.1086/513108,HIP 71911,HD 129865
2006AstL...32..759G,AstL,Pulkovo compilation of radial velocities for 35495 stars in a common system.,2006,32,10.1134/S1063773706110065,HIP 71911,HD 129865
2004A&A...418..989N,A&A,"The Geneva-Copenhagen survey of the Solar neighbourhood. Ages, metallicities, and kinematic properties of ~14000 F and G  dwarfs.",2004,418,10.1051/0004-6361:20035959,HIP 71911,HD 129865
1998A&AS..129..431H,A&AS,uvby{beta} photoelectric photometric catalogue.,1998,129,10.1051/aas:1998195,HIP 71911,HD 129865
1997A&AS..124..255F,A&AS,Mesures de vitesses radiales. VIII. Accompagnement au sol du programme d'observation du satellite Hipparcos Radial velocities. VIII. Ground based measurements for Hipparcos.,1997,124,,HIP 71911,HD 129865
1991PBeiO..18...43L,PBeiO,The period analysis of the new delta Scuti star HR 5437.,1991,18,,HIP 71911,HD 129865
1990IBVS.3451....1P,IBVS,Confusion concerning the variability of HR 5492 (=DL Dra) and HR 5437.,1990,3451,,HIP 71911,HD 129865
1988ACiCh..22....1J,ACiCh,HR 5437 is a new delta Scuti type variable.,1988,22,,HIP 71911,HD 129865
1983A&AS...53..223H,A&AS,Meridian observations made with the Carlsberg automatic meridian circle at Brorfelde (Copenhagen University Observatory) 1981-1982.,1983,53,,HIP 71911,HD 129865
1982ApJS...50..451P,ApJS,A photometric map of interstellar reddening within 300 parsecs.,1982,50,10.1086/190833,HIP 71911,HD 129865
1981Ap&SS..79..463B,Ap&SS,Study of the variability of the del Sct stars.,1981,79,10.1007/BF00649441,HIP 71911,HD 129865
2012A&A...546A..61D,A&A,Radial velocities for the HIPPARCOS-Gaia Hundred-Thousand-Proper-Motion  project.,2012,546,10.1051/0004-6361/201219219,HIP 74458,HD 135501
2012MNRAS.427..343M,MNRAS,Fundamental parameters and infrared excesses of Hipparcos stars.,2012,427,10.1111/j.1365-2966.2012.21873.x,HIP 74458,HD 135501
2006AstL...32..759G,AstL,Pulkovo compilation of radial velocities for 35495 stars in a common system.,2006,32,10.1134/S1063773706110065,HIP 74458,HD 135501
1999A&AS..137..451G,A&AS,Radial velocities. IX. Measurements of 2800 B2-F5 stars for Hipparcos.,1999,137,10.1051/aas:1999489,HIP 74458,HD 135501
1993A&AS..102..643M,A&AS,Mesures d'etoiles doubles faites a Nice (4e serie),1993,102,,HIP 74458,HD 135501
1981ApJS...45..437A,ApJS,Visual multiples. VII. MK classifications.,1981,45,10.1086/190719,HIP 74458,HD 135501
1958AJ.....63..324P,AJ,The visual magnitudes of double stars.,1958,63,10.1086/107769,HIP 74458,HD 135501
2009ApJS..181..444A,ApJS,X-ray-emitting stars identified from the ROSAT All-Sky Survey and the  Sloan Digital Sky Survey.,2009,181,10.1088/0067-0049/181/2/444,TYC 3867-281-1,BD+60  1587
2015A&A...580A..23P,A&A,A new catalogue of Stroemgren-Crawford uvby{beta} photometry.,2015,580,10.1051/0004-6361/201526413,HIP 68637,HR  5280
2012A&A...537A.120Z,A&A,Rotational velocities of A-type stars. IV. Evolution of rotational  velocities.,2012,537,10.1051/0004-6361/201117691,HIP 68637,HR  5280
2012MNRAS.427..343M,MNRAS,Fundamental parameters and infrared excesses of Hipparcos stars.,2012,427,10.1111/j.1365-2966.2012.21873.x,HIP 68637,HR  5280
2012A&A...546A..61D,A&A,Radial velocities for the HIPPARCOS-Gaia Hundred-Thousand-Proper-Motion  project.,2012,546,10.1051/0004-6361/201219219,HIP 68637,HR  5280
2011SerAJ.182...35D,SerAJ,Corrected {mu}delta for stars of Hipparcos catalogue from independent latitude observations over many decades.,2011,182,10.2298/SAJ1182035D,HIP 68637,HR  5280
2007A&A...463..671R,A&A,Rotational velocities of A-type stars. III. Velocity distributions.,2007,463,10.1051/0004-6361:20065224,HIP 68637,HR  5280
2006AstL...32..759G,AstL,Pulkovo compilation of radial velocities for 35495 stars in a common system.,2006,32,10.1134/S1063773706110065,HIP 68637,HR  5280
2002A&A...386..854G,A&A,Near infrared observations of soft X-ray selected AGN.,2002,386,10.1051/0004-6361:20020270,HIP 68637,HR  5280
2002A&A...393..897R,A&A,Rotational velocities of A-type stars. II. Measurement of vsini in the northern hemisphere.,2002,393,10.1051/0004-6361:20020943,HIP 68637,HR  5280
1998A&AS..129..431H,A&AS,uvby{beta} photoelectric photometric catalogue.,1998,129,10.1051/aas:1998195,HIP 68637,HR  5280
1996A&AS..118..239H,A&AS,The photoelectric astrolabe catalogue of Yunnan Observatory (YPAC).,1996,118,,HIP 68637,HR  5280
1996A&AS..115..401J,A&AS,uvbyH_{beta}_ photometry of main sequence A type stars.,1996,115,,HIP 68637,HR  5280
1995A&AS..114..269D,A&AS,Vitesses radiales. Catalogue WEB: Wilson Evans Batten. Radial velocities: The Wilson-Evans-Batten catalogue.,1995,114,,HIP 68637,HR  5280
1995ApJS...99..135A,ApJS,The relation between rotational velocities and spectral peculiarities among A-type stars.,1995,99,10.1086/192182,HIP 68637,HR  5280
1994IBVS.4114....1P,IBVS,APT observations of small-amplitude red variables.,1994,4114,,HIP 68637,HR  5280
1992A&AS...93..441L,A&AS,The delta Scuti star HD 127759.,1992,93,,HIP 68637,HR  5280
1992A&AS...93...87L,A&AS,The delta Scuti star HR 5437.,1992,93,,HIP 68637,HR  5280
1990A&AS...85.1069S,A&AS,MK classification and photometry of stars used for time and latitude observations at Mizusawa and Washington.,1990,85,,HIP 68637,HR  5280
1987PASP...99.1184P,PASP,A catalog of bright uvby beta standard stars.,1987,99,10.1086/132103,HIP 68637,HR  5280
1984PASP...96..441G,PASP,Photoelectric UBV photometry for 317 PZT and VZT stars.,1984,96,10.1086/131362,HIP 68637,HR  5280
1978A&AS...33...15C,A&AS,Spectral classification from the ultraviolet line features of S2/68 spectra III. Early A-type stars.,1978,33,,HIP 68637,HR  5280
1975A&A....43..111H,A&A,"Absolute luminosity calibration of Stroemgren's ""intermediate group"".",1975,43,,HIP 68637,HR  5280
1972AN....294....1J,AN,Uber die veranderlichkeit der sterne des spektraltyps A.,1972,294,10.1002/asna.19722940102,HIP 68637,HR  5280
1972A&AS....5..109C,A&AS,Four-color and H beta photometry for the brighter A0-type stars.,1972,5,,HIP 68637,HR  5280
1970A&AS....1..189F,A&AS,A catalogue of proper motions for 437 A stars.,1970,1,,HIP 68637,HR  5280
1970A&AS....1..165J,A&AS,Photoelectric observations of early A stars.,1970,1,,HIP 68637,HR  5280
2010ApJ...709..733Z,ApJ,Parallactic motion for companion discovery: an M-dwarf orbiting Alcor.,2010,709,10.1088/0004-637X/709/2/733,TYC 3850-257-1,NAME Stella Ludoviciana
2010AJ....139..919M,AJ,Discovery of a faint companion to Alcor using MMT/AO 5 {mu}m imaging.,2010,139,10.1088/0004-6256/139/3/919,TYC 3850-257-1,NAME Stella Ludoviciana
2005JHA....36..251S,JHA,"The early search for stellar parallax : Galileo, Castelli and Ramponi.",2005,36,,TYC 3850-257-1,NAME Stella Ludoviciana
1999A&AS..137..451G,A&AS,Radial velocities. IX. Measurements of 2800 B2-F5 stars for Hipparcos.,1999,137,10.1051/aas:1999489,TYC 3850-257-1,NAME Stella Ludoviciana
1992ApJ...395L..21L,ApJ,"The ultraviolet-bright stars of omega Centauri, M 3 and M 13.",1992,395,10.1086/186479,TYC 3850-257-1,NAME Stella Ludoviciana
1982SvA....26..368I,SvA,Energy distributions in the spectra of 10 B to A stars.,1982,26,,TYC 3850-257-1,NAME Stella Ludoviciana
1952BAN....11..441W,BAN,Photoelectric colours of B and A-type stars in a number of Selected Areas.,1952,11,,TYC 3850-257-1,NAME Stella Ludoviciana
2012A&A...546A..61D,A&A,Radial velocities for the HIPPARCOS-Gaia Hundred-Thousand-Proper-Motion  project.,2012,546,10.1051/0004-6361/201219219,HIP 63702,HD 113491
2012MNRAS.427..343M,MNRAS,Fundamental parameters and infrared excesses of Hipparcos stars.,2012,427,10.1111/j.1365-2966.2012.21873.x,HIP 63702,HD 113491
1997PNAOJ...5....1Y,PNAOJ,The Tokyo PMC Catalog 90-93: Catalog of positions of 6649 stars observed in 1990 through 1993 with Tokyo Photoelectric Meridian Circle.,1997,5,,HIP 63702,HD 113491
2015ApJ...804..146D,ApJ,"The ages of early-type stars: Stromgren photometric methods calibrated, validated, tested, and applied to hosts and prospective hosts of directly imaged exoplanets.",2015,804,10.1088/0004-637X/804/2/146,HIP 66198,*  81 UMa
2015A&A...580A..23P,A&A,A new catalogue of Stroemgren-Crawford uvby{beta} photometry.,2015,580,10.1051/0004-6361/201526413,HIP 66198,*  81 UMa
2013ApJ...775..115U,ApJ,The inner kiloparsec of Mrk 273 with Keck adaptive optics.,2013,775,10.1088/0004-637X/775/2/115,HIP 66198,*  81 UMa
2012AstL...38..694G,AstL,Spatial distribution and kinematics of OB stars.,2012,38,10.1134/S1063773712110035,HIP 66198,*  81 UMa
2012A&A...546A..61D,A&A,Radial velocities for the HIPPARCOS-Gaia Hundred-Thousand-Proper-Motion  project.,2012,546,10.1051/0004-6361/201219219,HIP 66198,*  81 UMa
2012A&A...537A.120Z,A&A,Rotational velocities of A-type stars. IV. Evolution of rotational  velocities.,2012,537,10.1051/0004-6361/201117691,HIP 66198,*  81 UMa
2012MNRAS.427..343M,MNRAS,Fundamental parameters and infrared excesses of Hipparcos stars.,2012,427,10.1111/j.1365-2966.2012.21873.x,HIP 66198,*  81 UMa
2011SerAJ.182...35D,SerAJ,Corrected {mu}delta for stars of Hipparcos catalogue from independent latitude observations over many decades.,2011,182,10.2298/SAJ1182035D,HIP 66198,*  81 UMa
2011ApJS..197...19K,ApJS,The first hundred brown dwarfs discovered by the Wide-field Infrared  Survey Explorer (WISE).,2011,197,10.1088/0067-0049/197/2/19,HIP 66198,*  81 UMa
2009ApJS..185..289R,ApJS,The infrared telescope facility (IRTF) spectral library: cool stars.,2009,185,10.1088/0067-0049/185/2/289,HIP 66198,*  81 UMa
2009A&A...498..961R,A&A,"Catalogue of Ap, HgMn and Am stars.",2009,498,10.1051/0004-6361/200810788,HIP 66198,*  81 UMa
2008CoSka..38...87S,CoSka,History of CP stars.,2008,38,,HIP 66198,*  81 UMa
2008AJ....135.2245R,AJ,Absolute physical calibration in the infrared.,2008,135,10.1088/0004-6256/135/6/2245,HIP 66198,*  81 UMa
2008MNRAS.389..869E,MNRAS,A catalogue of multiplicity among bright stellar systems.,2008,389,10.1111/j.1365-2966.2008.13596.x,HIP 66198,*  81 UMa
2007A&A...463..671R,A&A,Rotational velocities of A-type stars. III. Velocity distributions.,2007,463,10.1051/0004-6361:20065224,HIP 66198,*  81 UMa
2002A&A...393..897R,A&A,Rotational velocities of A-type stars. II. Measurement of vsini in the northern hemisphere.,2002,393,10.1051/0004-6361:20020943,HIP 66198,*  81 UMa
2001A&A...367..521P,A&A,Catalogue of Apparent Diameters and Absolute Radii of Stars (CADARS) - Third edition - Comments and statistics.,2001,367,10.1051/0004-6361:20000451,HIP 66198,*  81 UMa
1998A&AS..128..573M,A&AS,{DELTA}a and Stroemgren photometry of stars in the Renson-catalogue of Ap and Am stars.,1998,128,10.1051/aas:1998164,HIP 66198,*  81 UMa
1998A&A...335..173H,A&A,A reliable transformation of Hipparcos H_p_ magnitudes into Johnson V and B magnitudes.,1998,335,,HIP 66198,*  81 UMa
1998A&AS..129..431H,A&AS,uvby{beta} photoelectric photometric catalogue.,1998,129,10.1051/aas:1998195,HIP 66198,*  81 UMa
1995ApJS...99..135A,ApJS,The relation between rotational velocities and spectral peculiarities among A-type stars.,1995,99,10.1086/192182,HIP 66198,*  81 UMa
1995A&AS..114..269D,A&AS,Vitesses radiales. Catalogue WEB: Wilson Evans Batten. Radial velocities: The Wilson-Evans-Batten catalogue.,1995,114,,HIP 66198,*  81 UMa
1995GCTP..C......0V,GCTP,"The General Catalogue of Trigonometric Stellar Parallaxes, Fourth Edition.",1995,-1,,HIP 66198,*  81 UMa
1994A&AS..104..121H,A&AS,Reliable photometric reductions to the standard UBV (or uvby) system.,1994,104,,HIP 66198,*  81 UMa
1991A&AS...89..429R,A&AS,General catalogue of Ap and Am stars.,1991,89,,HIP 66198,*  81 UMa
1991TrSht..62..243G,TrSht,Catalogue of proper motions in the declination of stars of the Moscow zenith zone.,1991,62,,HIP 66198,*  81 UMa
1990A&AS...85.1069S,A&AS,MK classification and photometry of stars used for time and latitude observations at Mizusawa and Washington.,1990,85,,HIP 66198,*  81 UMa
1989PBeiO..14...12L,PBeiO,Third preliminary catalogue of stars observed with the photoelectric astrolabe of the Beijing Astronomical Observatory.,1989,14,,HIP 66198,*  81 UMa
1989A&AS...81..127G,A&AS,Behaviour of OI triplet lambda-7773. II. Ap stars.,1989,81,,HIP 66198,*  81 UMa
1987JApA....8..351L,JApA,Experiments with CP stars.,1987,8,10.1007/BF02714899,HIP 66198,*  81 UMa
1987VilOB..76....8Z,VilOB,Determination of the effective temperatures of peculiar stars in the Vilnius photometric system.,1987,76,,HIP 66198,*  81 UMa
1986PASP...98..927L,PASP,Carbon abundances and meridional mixing in rapidly rotating early-A stars.,1986,98,10.1086/131846,HIP 66198,*  81 UMa
1985A&AS...60...99W,A&AS,The local system of early type stars. Spatial extent and kinematics.,1985,60,,HIP 66198,*  81 UMa
1984TrSht..54..149T,TrSht,"The catalogue of the right ascensions of 200 stars, observed with theMoscow PZT during 1973.8 - 1981.0.",1984,54,,HIP 66198,*  81 UMa
1983A&A...117..347T,A&A,Empirical calibration of the RGU-system.,1983,117,,HIP 66198,*  81 UMa
1983TrSht..55...40W,TrSht,A catalogue of declinations and proper motions of Moscow PZT stars.,1983,55,,HIP 66198,*  81 UMa
1983A&AS...53...33L,A&AS,A physical study of the Ursa Major cluster (with special attention tothe peculiar A stars),1983,53,,HIP 66198,*  81 UMa
1980A&AS...40..207C,A&AS,Spectral classification from the ultraviolet line features of S2/68 spectra.,1980,40,,HIP 66198,*  81 UMa
1980Ap&SS..69..401F,Ap&SS,Apparent radii and other parameters for 416 B5V-F5V stars of the catalogue of the Geneva Observatory.,1980,69,10.1007/BF00661927,HIP 66198,*  81 UMa
1978BAICz..29...44M,BAICz,Photoelectric photometry at the Hvar Observatory. III. The Ap star CQ UMa.,1978,29,,HIP 66198,*  81 UMa
1978A&AS...33...15C,A&AS,Spectral classification from the ultraviolet line features of S2/68 spectra III. Early A-type stars.,1978,33,,HIP 66198,*  81 UMa
1977ATsir.969....7L,ATsir,Possibly near-by open clusters.,1977,969,,HIP 66198,*  81 UMa
1975A&AS...19..189M,A&AS,Catalogue of early-type stars measured in a narrow-band photometric system.,1975,19,,HIP 66198,*  81 UMa
1975AJ.....80.1026A,AJ,Interstellar circular polarization. II. Northern and southern hemisphere survey results and observational search criteria.,1975,80,10.1086/111834,HIP 66198,*  81 UMa
1974ApJS...28..101D,ApJS,Rotational velocities of A0 stars.,1974,28,10.1086/190312,HIP 66198,*  81 UMa
1973AJ.....78..192W,AJ,Uvby photometry of Am and Ap stars.,1973,78,10.1086/111397,HIP 66198,*  81 UMa
1972A&AS....5..109C,A&AS,Four-color and H beta photometry for the brighter A0-type stars.,1972,5,,HIP 66198,*  81 UMa
1972AN....294....1J,AN,Uber die veranderlichkeit der sterne des spektraltyps A.,1972,294,10.1002/asna.19722940102,HIP 66198,*  81 UMa
1971ApJS...23..421H,ApJS,K-line photometry of southern A stars.,1971,23,10.1086/190245,HIP 66198,*  81 UMa
1970A&AS....1..165J,A&AS,Photoelectric observations of early A stars.,1970,1,,HIP 66198,*  81 UMa
1970A&AS....1..189F,A&AS,A catalogue of proper motions for 437 A stars.,1970,1,,HIP 66198,*  81 UMa
1969ApJS...18...47H,ApJS,K-line photometry of A stars.,1969,18,10.1086/190184,HIP 66198,*  81 UMa
1967JO.....50..425B,JO,Observations spectrographiques d'etoiles A a spectre particulier et a raies metalliques.,1967,50,,HIP 66198,*  81 UMa
1966GeoOM..21....0C,GeoOM,Investigation of the magnetic and related stars through narrow-band photometry.,1966,21,,HIP 66198,*  81 UMa
1960JO.....43..129B,JO,Catalogue et bibliographie des etoiles A a spectre particulier.,1960,43,,HIP 66198,*  81 UMa
1959JO.....42...45B,JO,Catalogue et bibliographie des etoiles a spectre particulier.,1959,42,,HIP 66198,*  81 UMa
1958ApJS....3..141B,ApJS,A catalog of magnetic stars.,1958,3,10.1086/190035,HIP 66198,*  81 UMa
1951ApJ...113..437S,ApJ,Lines of neutral oxygen in the infrared spectra of peculiar A stars.,1951,113,10.1086/145412,HIP 66198,*  81 UMa
1926ApJ....64..262D,ApJ,Spectroscopic magnitudes of A-type stars.,1926,64,10.1086/143011,HIP 66198,*  81 UMa
2015ApJ...804..146D,ApJ,"The ages of early-type stars: Stromgren photometric methods calibrated, validated, tested, and applied to hosts and prospective hosts of directly imaged exoplanets.",2015,804,10.1088/0004-637X/804/2/146,HIP 69275,HD 124370
2015A&A...580A..23P,A&A,A new catalogue of Stroemgren-Crawford uvby{beta} photometry.,2015,580,10.1051/0004-6361/201526413,HIP 69275,HD 124370
2012MNRAS.427..343M,MNRAS,Fundamental parameters and infrared excesses of Hipparcos stars.,2012,427,10.1111/j.1365-2966.2012.21873.x,HIP 69275,HD 124370
2012A&A...546A..61D,A&A,Radial velocities for the HIPPARCOS-Gaia Hundred-Thousand-Proper-Motion  project.,2012,546,10.1051/0004-6361/201219219,HIP 69275,HD 124370
2011A&A...530A.138C,A&A,New constraints on the chemical evolution of the solar neighbourhood and Galactic disc(s). Improved astrophysical parameters for the  Geneva-Copenhagen survey.,2011,530,10.1051/0004-6361/201016276,HIP 69275,HD 124370
2009A&A...501..941H,A&A,"The Geneva-Copenhagen survey of the solar neighbourhood. III. Improved  distances, ages, and kinematics.",2009,501,10.1051/0004-6361/200811191,HIP 69275,HD 124370
2009ApJS..181..444A,ApJS,X-ray-emitting stars identified from the ROSAT All-Sky Survey and the  Sloan Digital Sky Survey.,2009,181,10.1088/0067-0049/181/2/444,HIP 69275,HD 124370
2006AstL...32..759G,AstL,Pulkovo compilation of radial velocities for 35495 stars in a common system.,2006,32,10.1134/S1063773706110065,HIP 69275,HD 124370
2004A&A...418..989N,A&A,"The Geneva-Copenhagen survey of the Solar neighbourhood. Ages, metallicities, and kinematic properties of ~14000 F and G  dwarfs.",2004,418,10.1051/0004-6361:20035959,HIP 69275,HD 124370
1995A&AS..114..269D,A&AS,Vitesses radiales. Catalogue WEB: Wilson Evans Batten. Radial velocities: The Wilson-Evans-Batten catalogue.,1995,114,,HIP 69275,HD 124370
1950ApJ...112...48M,ApJ,"Radial velocities, spectral types and luminosity classes of 820 stars.",1950,112,10.1086/145318,HIP 69275,HD 124370
2012A&A...546A..61D,A&A,Radial velocities for the HIPPARCOS-Gaia Hundred-Thousand-Proper-Motion  project.,2012,546,10.1051/0004-6361/201219219,HIP 75449,HD 137589
2012MNRAS.427..343M,MNRAS,Fundamental parameters and infrared excesses of Hipparcos stars.,2012,427,10.1111/j.1365-2966.2012.21873.x,HIP 75449,HD 137589
2011MNRAS.411..435B,MNRAS,Bayesian inference of stellar parameters and interstellar extinction  using parallaxes and multiband photometry.,2011,411,10.1111/j.1365-2966.2010.17699.x,HIP 75449,HD 137589
2006AJ....132.1153T,AJ,The absolute dimensions of the overcontact binary FI Bootis.,2006,132,10.1086/506425,HIP 75449,HD 137589
2017A&A...597A..58K,A&A,Doppler imaging of chemical spots on magnetic Ap/Bp stars Numerical tests and assessment of systematic errors.,2017,597,10.1051/0004-6361/201629768,HIP 67231,*  84 UMa
2015ApJ...804..146D,ApJ,"The ages of early-type stars: Stromgren photometric methods calibrated, validated, tested, and applied to hosts and prospective hosts of directly imaged exoplanets.",2015,804,10.1088/0004-637X/804/2/146,HIP 67231,*  84 UMa
2015A&A...580A..23P,A&A,A new catalogue of Stroemgren-Crawford uvby{beta} photometry.,2015,580,10.1051/0004-6361/201526413,HIP 67231,*  84 UMa
2014MNRAS.443.1629S,MNRAS,Interferometry of chemically peculiar stars: theoretical predictions versus modern observing facilities.,2014,443,10.1093/mnras/stu1259,HIP 67231,*  84 UMa
2014A&A...562A..65S,A&A,Spectrophotometric analysis of the 5200 {AA} region for peculiar and normal stars.,2014,562,10.1051/0004-6361/201322300,HIP 67231,*  84 UMa
2013A&A...553A..95M,A&A,A PCA approach to stellar effective temperatures.,2013,553,10.1051/0004-6361/201220961,HIP 67231,*  84 UMa
2012AstL...38..694G,AstL,Spatial distribution and kinematics of OB stars.,2012,38,10.1134/S1063773712110035,HIP 67231,*  84 UMa
2012A&A...546A..61D,A&A,Radial velocities for the HIPPARCOS-Gaia Hundred-Thousand-Proper-Motion  project.,2012,546,10.1051/0004-6361/201219219,HIP 67231,*  84 UMa
2012MNRAS.427..343M,MNRAS,Fundamental parameters and infrared excesses of Hipparcos stars.,2012,427,10.1111/j.1365-2966.2012.21873.x,HIP 67231,*  84 UMa
2012AJ....143...28F,AJ,High ionization species in the nearby interstellar medium from an  exhaustive analysis of the IUE INES database.,2012,143,10.1088/0004-6256/143/2/28,HIP 67231,*  84 UMa
2012ApJS..199....8G,ApJS,A compilation of interstellar column densities.,2012,199,10.1088/0067-0049/199/1/8,HIP 67231,*  84 UMa
2011MNRAS.414.2602D,MNRAS,Random forest automated supervised classification of Hipparcos periodic  variable stars.,2011,414,10.1111/j.1365-2966.2011.18575.x,HIP 67231,*  84 UMa
2011SerAJ.182...35D,SerAJ,Corrected {mu}delta for stars of Hipparcos catalogue from independent latitude observations over many decades.,2011,182,10.2298/SAJ1182035D,HIP 67231,*  84 UMa
2011MNRAS.415.1105S,MNRAS,Distance limits to intermediate- and high-velocity clouds.,2011,415,10.1111/j.1365-2966.2011.18647.x,HIP 67231,*  84 UMa
2010A&A...510A..54W,A&A,New 3D gas density maps of NaI and CaII interstellar absorption within  300 pc.,2010,510,10.1051/0004-6361/200913202,HIP 67231,*  84 UMa
